id,genre_dict_id,name
1,1,웹디자인/홈페이지
2,2,교양 인문학
3,3,시
4,3,한국에세이
5,2,동양철학
6,3,사진/그림 에세이
7,4,캐릭터상품
8,2,서양철학
9,3,영미소설
10,3,프랑스소설
11,3,희곡
12,3,추리/미스터리소설
13,3,일본소설
14,3,판타지/환상문학
15,4,인터넷 연재 만화
16,5,미술
17,5,음악
18,6,프랑스여행
19,7,교육/학습
20,8,국방/군사학
21,8,교육학
22,3,독일소설
23,7,임신/출산
24,4,그래픽노블
25,4,순정만화
26,3,일기/편지
27,9,중국사
28,3,한국소설
29,9,문화/역사기행
30,3,로맨스소설
31,10,물리학
32,10,과학의 이해
33,10,화학
34,9,아시아사
35,2,문화/문화이론
36,5,건축
37,9,조선사
38,3,라이트 노벨
39,7,특수교육
40,2,심리학/정신분석학
41,3,세계의 문학
42,9,한국고대~고려시대
43,8,지리학/지정학
44,5,영화/드라마
45,9,한국근현대사
46,2,책읽기/글쓰기
47,2,철학 일반
48,10,농업
49,3,외국에세이
50,3,스페인/중남미소설
51,8,정치학/외교학/행정학
52,10,기초과학/교양과학
53,5,디자인/공예
54,3,명사에세이
55,2,인류학/고고학
56,8,비평/칼럼
57,3,우리나라 옛글
58,4,본격장르만화
59,9,아프리카/오세아니아사
60,4,동물만화
61,5,예술/대중문화의 이해
62,10,생명과학
63,4,코믹/명랑만화
64,4,가족만화
65,2,신화/종교학
66,5,사진
67,8,사회문제
68,3,독서에세이
69,8,사회학
70,5,미술/음악/예술치료
71,10,수학
72,3,문학의 이해
73,1,e비즈니스/창업
74,3,과학소설(SF)
75,2,서지/출판
76,8,언론/미디어
77,8,사회사상/사회사상사
78,7,육아
79,8,여성학/젠더
80,10,뇌과학
81,9,테마로 보는 역사
82,4,소년만화
83,2,인문 에세이
84,7,부모교육
85,8,법과 생활
86,3,세계의 소설
87,7,육아/교육 에세이
88,10,동물과 식물
89,9,한국사 일반
90,9,세계사 일반
91,9,고고학
92,6,국내 여행에세이
93,7,청소년/사춘기/성교육
94,3,액션/스릴러소설
95,6,동남아시아여행
96,10,의학
97,8,사회운동
98,6,국내 여행가이드
99,4,교양만화
100,6,유럽여행
101,1,스마트폰/태블릿/SNS
102,1,컴퓨터 공학
103,3,여행에세이
104,2,기호학/언어학
105,1,초중고 소프트웨어 교육/코딩
106,1,인공지능
107,4,요리만화
108,8,통일/북한관계
109,5,컬러링북
110,7,초등 자녀
111,1,프로그래밍 개발/방법론
112,3,사랑/연애 에세이
113,1,그래픽/멀티미디어
114,6,제주도 여행가이드
115,8,한국정치사정/정치사
116,1,프로그래밍 언어
117,4,논픽션/휴먼만화
118,1,모바일 프로그래밍
119,6,서울/수도권 여행가이드
120,1,오피스(엑셀/파워포인트)
121,3,역사소설
122,8,환경/생태문제
123,1,OS/Networking
124,6,세계일주여행
125,3,러시아소설
126,10,천문학
127,8,미래학
128,6,인도/티베트/네팔여행
129,9,동양사일반
130,2,사상가/인문학자
131,9,유럽사
132,1,PC/게임/디지털 카메라
133,6,일본여행
134,3,종교에세이
135,3,호러.공포소설
136,5,무용
137,6,캐나다여행
138,1,활용능력
139,5,연극
140,9,일본사
141,3,중국소설
142,10,공학
143,6,동유럽여행
144,9,서양사
145,6,중남미여행
146,3,작은 이야기 모음
147,4,만화그리기와 읽기
148,3,유머/풍자/우화
149,9,역사학
150,3,명언/잠언록
151,4,직장인만화
152,4,스포츠만화
153,3,문학 잡지
154,6,지도
155,7,건강/환경
156,3,테마문학
157,3,무협소설
158,2,학회/무크/계간지
159,7,태교
160,7,영유아 육아
161,8,계간지/무크
162,6,아프리카여행
163,4,대하/서사만화
164,3,심리치유 에세이
165,10,지구과학
166,6,영국여행
167,3,명상에세이
168,2,인문 비평
169,6,스페인여행
170,6,미국여행
171,9,아메리카사
172,6,홍콩/대만/마카오여행
173,6,괌/사이판/하와이여행
174,6,호주/뉴질랜드여행
175,6,테마여행
176,6,중국여행
177,6,독일여행
178,6,기타지역여행
179,6,중동여행
180,6,워킹 홀리데이
181,6,이탈리아여행
182,6,북유럽여행
183,10,과학자의 생애
184,5,TV/라디오
185,5,뮤지컬/오페라
186,2,논리와 비판적 사고
187,9,북한사
188,3,예술에세이
189,3,음식에세이
190,5,예술경영/공연기획
191,9,이슬람/중동/이스라엘
192,2,동문선 현대신서
193,3,노년을 위한 에세이
194,3,자연에세이
195,6,유학/해외연수/이민
196,4,유럽/서구만화
197,8,밀리터리클래식(책세상)
198,4,성인/성애만화
199,4,인디만화
200,1,중고매입용컴퓨터
201,10,인체의 이해
202,7,외국의 육아.교육
